id,name,state_id,state_code,country_id,country_code,latitude,longitude
60001,San Giovanni la Punta,1709,82,107,IT,37.5769,15.09371
60002,San Giovanni-Patoni,1678,62,107,IT,41.77223,13.2751
60003,San Giovanni-San Bernardino,1773,45,107,IT,44.79297,9.60871
60004,San Giuliano Milanese,1705,25,107,IT,45.39402,9.29109
60005,San Giuliano Terme,1664,52,107,IT,43.76372,10.43856
60006,San Giuliano Vecchio,1702,21,107,IT,44.88902,8.76057
60007,San Giuliano del Sannio,1695,67,107,IT,41.45752,14.64169
60008,San Giuliano di Puglia,1695,67,107,IT,41.68796,14.96231
60009,San Giuseppe,1773,45,107,IT,44.72202,12.21712
60010,San Giuseppe,1702,21,107,IT,45.14701,7.04271
60011,San Giuseppe,1669,72,107,IT,40.84507,14.2517
60012,San Giuseppe Jato,1709,82,107,IT,37.97331,13.18889
60013,San Giuseppe Vesuviano,1669,72,107,IT,40.8356,14.50487
60014,San Giuseppe le Prata-Cotropagno,1678,62,107,IT,41.67788,13.39664
60015,San Giustino,1683,55,107,IT,43.5466,12.17528
60016,San Giustino Valdarno,1664,52,107,IT,43.55269,11.70497
60017,San Giusto Canavese,1702,21,107,IT,45.31535,7.81001
60018,San Godenzo,1664,52,107,IT,43.92504,11.61982
60019,San Gregorio,1753,34,107,IT,45.34286,11.29933
60020,San Gregorio Magno,1669,72,107,IT,40.65992,15.39914
60021,San Gregorio Matese,1669,72,107,IT,41.38556,14.37217
60022,San Gregorio d'Ippona,1703,78,107,IT,38.64528,16.10356
60023,San Gregorio da Sassola,1678,62,107,IT,41.91881,12.87447
60024,San Gregorio di Catania,1709,82,107,IT,37.56764,15.1112
60025,San Gregorio nelle Alpi,1753,34,107,IT,46.10391,12.0267
60026,San Jacopo al Girone,1664,52,107,IT,43.76956,11.34032
60027,San Lazzaro,1773,45,107,IT,44.4705,11.40851
60028,San Leo,1773,45,107,IT,43.89637,12.3446
60029,San Leonardo,1756,36,107,IT,46.11913,13.53085
60030,San Leonardo,1716,23,107,IT,45.82366,7.1814
60031,San Leonardo in Passiria,1725,32,107,IT,46.81282,11.24577
60032,San Leone Mosè,1709,82,107,IT,37.26497,13.58434
60033,San Leucio del Sannio-Cavuoti,1669,72,107,IT,41.07442,14.75744
60034,San Liberale,1753,34,107,IT,45.54778,12.34139
60035,San Lorenzello,1669,72,107,IT,41.27602,14.54173
60036,San Lorenzo,1703,78,107,IT,38.01097,15.8344
60037,San Lorenzo,1702,21,107,IT,46.1272,8.20065
60038,San Lorenzo,1669,72,107,IT,40.75405,14.58974
60039,San Lorenzo,1768,42,107,IT,44.17302,8.24424
60040,San Lorenzo Bellizzi,1703,78,107,IT,39.88867,16.33029
60041,San Lorenzo Isontino,1756,36,107,IT,45.9302,13.52517
60042,San Lorenzo Maggiore,1669,72,107,IT,41.24885,14.62438
60043,San Lorenzo Nuovo,1678,62,107,IT,42.68626,11.90718
60044,San Lorenzo al Mare,1768,42,107,IT,43.85378,7.96406
60045,San Lorenzo del Vallo,1703,78,107,IT,39.66739,16.29866
60046,San Lorenzo di Rovetta,1705,25,107,IT,45.87971,9.97537
60047,San Lorenzo di Sebato,1725,32,107,IT,46.78514,11.90812
60048,San Lorenzo in Banale,1725,32,107,IT,46.0766,10.90847
60049,San Lorenzo in Campo,1670,57,107,IT,43.60149,12.94398
60050,San Luca,1703,78,107,IT,38.14672,16.06625
60051,San Lucido,1703,78,107,IT,39.31012,16.05317
60052,San Lupo,1669,72,107,IT,41.26148,14.63528
60053,San Mamete,1705,25,107,IT,46.02505,9.05364
60054,San Mango Piemonte,1669,72,107,IT,40.70024,14.83919
60055,San Mango d'Aquino,1703,78,107,IT,39.06036,16.19224
60056,San Mango sul Calore,1669,72,107,IT,40.9589,14.97251
60057,San Marcellino,1669,72,107,IT,40.99001,14.17583
60058,San Marcello,1670,57,107,IT,43.57526,13.20827
60059,San Marcello Pistoiese,1664,52,107,IT,44.05583,10.79366
60060,San Marco,1669,72,107,IT,40.2674,14.93897
60061,San Marco Argentano,1703,78,107,IT,39.55725,16.12452
60062,San Marco Evangelista,1669,72,107,IT,41.03702,14.33979
60063,San Marco d'Alunzio,1709,82,107,IT,38.07261,14.70093
60064,San Marco dei Cavoti,1669,72,107,IT,41.30881,14.87924
60065,San Marco in Lamis,1688,75,107,IT,41.7121,15.63825
60066,San Marco la Catola,1688,75,107,IT,41.52483,15.00594
60067,San Martino,1703,78,107,IT,38.36157,15.97634
60068,San Martino,1773,45,107,IT,44.77794,11.58751
60069,San Martino,1725,32,107,IT,46.81097,12.22684
60070,San Martino,1753,34,107,IT,45.90807,12.34132
60071,San Martino Alfieri,1702,21,107,IT,44.81795,8.10994
60072,San Martino Bassa,1679,65,107,IT,42.51827,14.13045
60073,San Martino Buon Albergo,1753,34,107,IT,45.42083,11.09562
60074,San Martino Canavese,1702,21,107,IT,45.39453,7.81622
60075,San Martino Dall'Argine,1705,25,107,IT,45.09715,10.51766
60076,San Martino Sannita,1669,72,107,IT,41.06546,14.83492
60077,San Martino Siccomario,1705,25,107,IT,45.1634,9.14062
60078,San Martino Valle Caudina,1669,72,107,IT,41.02764,14.66446
60079,San Martino al Cimino,1678,62,107,IT,42.36978,12.12515
60080,San Martino al Tagliamento,1756,36,107,IT,46.01697,12.86989
60081,San Martino d'Agri,1706,77,107,IT,40.23913,16.05216
60082,San Martino dei Mulini,1773,45,107,IT,44.03182,12.46396
60083,San Martino del Lago,1705,25,107,IT,45.07243,10.31568
60084,San Martino della Battaglia,1705,25,107,IT,45.43832,10.60053
60085,San Martino di Finita,1703,78,107,IT,39.48988,16.10968
60086,San Martino di Lupari,1753,34,107,IT,45.65128,11.86004
60087,San Martino di Venezze,1753,34,107,IT,45.12532,11.87018
60088,San Martino in Argine,1773,45,107,IT,44.58876,11.6065
60089,San Martino in Badia,1725,32,107,IT,46.68153,11.89809
60090,San Martino in Campo,1683,55,107,IT,43.03608,12.40265
60091,San Martino in Freddana-Monsagrati,1664,52,107,IT,43.90921,10.43778
60092,San Martino in Passiria,1725,32,107,IT,46.78392,11.22727
60093,San Martino in Pensilis,1695,67,107,IT,41.87814,15.01824
60094,San Martino in Rio,1773,45,107,IT,44.73368,10.7849
60095,San Martino in Strada,1705,25,107,IT,45.27497,9.52636
60096,San Martino in Trignano,1683,55,107,IT,42.74125,12.66836
60097,San Martino sulla Marrucina,1679,65,107,IT,42.22419,14.21577
60098,San Marzano Oliveto,1702,21,107,IT,44.75445,8.29534
60099,San Marzano di San Giuseppe,1688,75,107,IT,40.45455,17.50351
60100,San Marzano sul Sarno,1669,72,107,IT,40.77801,14.58006
60101,San Massimo,1695,67,107,IT,41.49292,14.41023
60102,San Maurizio,1702,21,107,IT,45.21705,7.63052
60103,San Maurizio D'Opaglio,1702,21,107,IT,45.77299,8.39599
60104,San Mauro,1664,52,107,IT,43.79418,11.12499
60105,San Mauro Castelverde,1709,82,107,IT,37.91478,14.18961
60106,San Mauro Cilento,1669,72,107,IT,40.22628,15.04476
60107,San Mauro Forte,1706,77,107,IT,40.48333,16.25155
60108,San Mauro Marchesato,1703,78,107,IT,39.10559,16.92561
60109,San Mauro Pascoli,1773,45,107,IT,44.1089,12.41953
60110,San Mauro Torinese,1702,21,107,IT,45.10359,7.76803
60111,San Mauro a Mare,1773,45,107,IT,44.16367,12.44631
60112,San Mauro di Saline,1753,34,107,IT,45.56452,11.11234
