id,name,state_id,state_code,country_id,country_code,latitude,longitude
23839,Bad Münstereifel,3017,NW,82,DE,50.55667,6.76424
23840,Bad Nauheim,3018,HE,82,DE,50.36463,8.73859
23841,Bad Nenndorf,3008,NI,82,DE,52.33703,9.37904
23842,Bad Neuenahr-Ahrweiler,3019,RP,82,DE,50.54322,7.1113
23843,Bad Neustadt an der Saale,3009,BY,82,DE,50.32174,10.20673
23844,Bad Oeynhausen,3017,NW,82,DE,52.20699,8.80365
23845,Bad Oldesloe,3005,SH,82,DE,53.81167,10.37417
23846,Bad Orb,3018,HE,82,DE,50.22788,9.34782
23847,Bad Peterstal-Griesbach,3006,BW,82,DE,48.43333,8.21667
23848,Bad Pyrmont,3008,NI,82,DE,51.98589,9.25246
23849,Bad Rappenau,3006,BW,82,DE,49.23848,9.1018
23850,Bad Reichenhall,3009,BY,82,DE,47.72947,12.87819
23851,Bad Rippoldsau-Schapbach,3006,BW,82,DE,48.42883,8.32584
23852,Bad Rothenfelde,3008,NI,82,DE,52.11667,8.16667
23853,Bad Saarow,3013,BB,82,DE,52.28333,14.06667
23854,Bad Sachsa,3008,NI,82,DE,51.59499,10.55546
23855,Bad Salzdetfurth,3008,NI,82,DE,52.05777,10.0058
23856,Bad Salzschlirf,3018,HE,82,DE,50.62388,9.50815
23857,Bad Salzuflen,3017,NW,82,DE,52.0862,8.74434
23858,Bad Salzungen,3015,TH,82,DE,50.81342,10.2361
23859,Bad Sassendorf,3017,NW,82,DE,51.58333,8.16667
23860,Bad Schandau,3021,SN,82,DE,50.91743,14.15494
23861,Bad Schlema,3021,SN,82,DE,50.60257,12.67288
23862,Bad Schmiedeberg,3011,ST,82,DE,51.68516,12.73483
23863,Bad Schussenried,3006,BW,82,DE,48.00468,9.65741
23864,Bad Schwalbach,3018,HE,82,DE,50.14196,8.06964
23865,Bad Schwartau,3005,SH,82,DE,53.91887,10.69691
23866,Bad Segeberg,3005,SH,82,DE,53.94313,10.30215
23867,Bad Soden am Taunus,3018,HE,82,DE,50.1408,8.50449
23868,Bad Soden-Salmünster,3018,HE,82,DE,50.27574,9.36705
23869,Bad Sooden-Allendorf,3018,HE,82,DE,51.27092,9.97483
23870,Bad Staffelstein,3009,BY,82,DE,50.10199,11.00128
23871,Bad Steben,3009,BY,82,DE,50.36648,11.64438
23872,Bad Suderode,3011,ST,82,DE,51.73333,11.11667
23873,Bad Sulza,3015,TH,82,DE,51.08929,11.62474
23874,Bad Säckingen,3006,BW,82,DE,47.55371,7.94612
23875,Bad Sülze,3007,MV,82,DE,54.11084,12.66054
23876,Bad Teinach-Zavelstein,3006,BW,82,DE,48.69051,8.69285
23877,Bad Tennstedt,3015,TH,82,DE,51.15447,10.83873
23878,Bad Tölz,3009,BY,82,DE,47.76111,11.5589
23879,Bad Urach,3006,BW,82,DE,48.49107,9.40009
23880,Bad Vilbel,3018,HE,82,DE,50.17866,8.73756
23881,Bad Waldsee,3006,BW,82,DE,47.92027,9.7549
23882,Bad Wiessee,3009,BY,82,DE,47.71667,11.71667
23883,Bad Wildbad,3006,BW,82,DE,48.75071,8.5504
23884,Bad Wildungen,3018,HE,82,DE,51.11963,9.12475
23885,Bad Wilsnack,3013,BB,82,DE,52.95607,11.94903
23886,Bad Wimpfen,3006,BW,82,DE,49.22971,9.15648
23887,Bad Windsheim,3009,BY,82,DE,49.50274,10.41539
23888,Bad Wurzach,3006,BW,82,DE,47.90799,9.89686
23889,Bad Wörishofen,3009,BY,82,DE,48.00674,10.59666
23890,Bad Zwischenahn,3008,NI,82,DE,53.18333,8
23891,Bad Überkingen,3006,BW,82,DE,48.59991,9.79586
23892,Badbergen,3008,NI,82,DE,52.63333,7.98333
23893,Baddeckenstedt,3008,NI,82,DE,52.08333,10.23333
23894,Badem,3019,RP,82,DE,50,6.61667
23895,Baden-Baden,3006,BW,82,DE,48.7606,8.23975
23896,Badenhausen,3008,NI,82,DE,51.76996,10.20493
23897,Badenweiler,3006,BW,82,DE,47.80223,7.67236
23898,Baesweiler,3017,NW,82,DE,50.90964,6.18874
23899,Bahlingen,3006,BW,82,DE,48.12064,7.73982
23900,Bahrdorf,3008,NI,82,DE,52.38587,11.0004
23901,Bahrenborstel,3008,NI,82,DE,52.57009,8.80863
23902,Baienfurt,3006,BW,82,DE,47.82857,9.65157
23903,Baierbrunn,3009,BY,82,DE,48.0203,11.48689
23904,Baiersbronn,3006,BW,82,DE,48.50318,8.37699
